datetime,v,vw,o,c,h,l,t,n,datetime
2020-04-29 05:00:00,137280816.0,71.8512,71.1825,71.9325,72.4175,70.9725,1588132800000,324890,2020-04-29 05:00:00
2020-04-30 05:00:00,183063872.0,72.9189,72.49,73.45,73.6325,72.0875,1588219200000,471129,2020-04-30 05:00:00
2020-05-01 05:00:00,240616692.0,73.1481,71.5625,72.2675,74.75,71.4625,1588305600000,558318,2020-05-01 05:00:00
2020-05-04 05:00:00,133446864.0,72.6385,72.2925,73.29,73.4225,71.5793,1588564800000,320744,2020-05-04 05:00:00
2020-05-05 05:00:00,147751180.0,74.6384,73.765,74.39,75.25,73.615,1588651200000,361220,2020-05-05 05:00:00
2020-05-06 05:00:00,142333256.0,75.4385,75.115,75.1575,75.81,74.7175,1588737600000,327327,2020-05-06 05:00:00
2020-05-07 05:00:00,115215056.0,75.9291,75.805,75.935,76.2925,75.4925,1588824000000,273196,2020-05-07 05:00:00
2020-05-08 05:00:00,134047940.0,76.9476,76.41,77.5325,77.5875,76.0725,1588910400000,318777,2020-05-08 05:00:00
2020-05-11 05:00:00,145945400.0,78.2535,77.025,78.7525,79.2625,76.81,1589169600000,336670,2020-05-11 05:00:00
2020-05-12 05:00:00,162100936.0,79.0703,79.4575,77.8525,79.922,77.7275,1589256000000,372891,2020-05-12 05:00:00
2020-05-13 05:00:00,200622556.0,77.2421,78.0375,76.9125,78.9875,75.8025,1589342400000,489388,2020-05-13 05:00:00
2020-05-14 05:00:00,158600728.0,76.401,76.1275,77.385,77.4475,75.3825,1589428800000,370233,2020-05-14 05:00:00
2020-05-15 05:00:00,165283688.0,76.2066,75.0875,76.9275,76.975,75.0525,1589515200000,385764,2020-05-15 05:00:00
2020-05-18 05:00:00,135369872.0,78.524,78.2925,78.74,79.125,77.581,1589774400000,315508,2020-05-18 05:00:00
2020-05-19 05:00:00,101729540.0,79.087,78.7575,78.285,79.63,78.2525,1589860800000,253423,2020-05-19 05:00:00
2020-05-20 05:00:00,111504860.0,79.6228,79.17,79.8075,79.88,79.05,1589947200000,263855,2020-05-20 05:00:00
2020-05-21 05:00:00,102688844.0,79.5353,79.665,79.2125,80.2225,78.9675,1590033600000,250904,2020-05-21 05:00:00
2020-05-22 05:00:00,81803016.0,79.3895,78.9425,79.7225,79.8075,78.8375,1590120000000,205849,2020-05-22 05:00:00
2020-05-26 05:00:00,125519176.0,79.8905,80.875,79.1825,81.06,79.125,1590465600000,309826,2020-05-26 05:00:00
2020-05-27 05:00:00,112941436.0,79.0398,79.035,79.5275,79.6775,78.2725,1590552000000,279261,2020-05-27 05:00:00
2020-05-28 05:00:00,133795408.0,80.0894,79.1925,79.5625,80.86,78.9075,1590638400000,320359,2020-05-28 05:00:00
2020-05-29 05:00:00,153598128.0,79.6771,79.8125,79.485,80.2875,79.1175,1590724800000,307848,2020-05-29 05:00:00
2020-06-01 05:00:00,81000752.0,80.2125,79.4375,80.4625,80.5875,79.3025,1590984000000,231707,2020-06-01 05:00:00
2020-06-02 05:00:00,87642632.0,80.3801,80.1863,80.835,80.86,79.7325,1591070400000,226248,2020-06-02 05:00:00
2020-06-03 05:00:00,104490584.0,81.084,81.165,81.28,81.55,80.575,1591156800000,258867,2020-06-03 05:00:00
2020-06-04 05:00:00,87560364.0,80.8328,81.0975,80.58,81.405,80.195,1591243200000,237171,2020-06-04 05:00:00
2020-06-05 05:00:00,137248048.0,82.2786,80.8375,82.875,82.9375,80.8075,1591329600000,351615,2020-06-05 05:00:00
2020-06-08 05:00:00,95650900.0,82.7662,82.5625,83.365,83.4,81.83,1591588800000,261203,2020-06-08 05:00:00
2020-06-09 05:00:00,147712228.0,85.3634,83.035,85.9975,86.4025,83.0025,1591675200000,402768,2020-06-09 05:00:00
2020-06-10 05:00:00,166646980.0,87.8736,86.975,88.21,88.6925,86.5225,1591761600000,449782,2020-06-10 05:00:00
2020-06-11 05:00:00,201659684.0,85.7741,87.3275,83.975,87.765,83.87,1591848000000,577299,2020-06-11 05:00:00
2020-06-12 05:00:00,200145124.0,85.0132,86.18,84.7,86.95,83.5558,1591934400000,514308,2020-06-12 05:00:00
2020-06-15 05:00:00,138808720.0,84.8782,83.3125,85.7475,86.42,83.145,1592193600000,368615,2020-06-15 05:00:00
2020-06-16 05:00:00,165428728.0,87.7181,87.865,88.02,88.3,86.18,1592280000000,446656,2020-06-16 05:00:00
2020-06-17 05:00:00,114388504.0,88.4283,88.7875,87.8975,88.85,87.7725,1592366400000,321829,2020-06-17 05:00:00
2020-06-18 05:00:00,96820384.0,87.8912,87.8525,87.9325,88.3625,87.305,1592452800000,274412,2020-06-18 05:00:00
2020-06-19 05:00:00,264475808.0,87.6158,88.6588,87.43,89.14,86.2875,1592539200000,521900,2020-06-19 05:00:00
2020-06-22 05:00:00,135445064.0,89.1444,87.835,89.7175,89.865,87.7875,1592798400000,365763,2020-06-22 05:00:00
2020-06-23 05:00:00,212155476.0,91.9246,91.0,91.6325,93.095,90.5675,1592884800000,540691,2020-06-23 05:00:00
2020-06-24 05:00:00,192623396.0,90.5741,91.25,90.015,92.1975,89.63,1592971200000,520696,2020-06-24 05:00:00
2020-06-25 05:00:00,137522512.0,90.4714,90.175,91.21,91.25,89.3925,1593057600000,364768,2020-06-25 05:00:00
2020-06-26 05:00:00,205256844.0,89.3208,91.1025,88.4075,91.33,88.255,1593144000000,478043,2020-06-26 05:00:00
2020-06-29 05:00:00,130646076.0,89.6679,88.3125,90.445,90.5434,87.82,1593403200000,345350,2020-06-29 05:00:00
2020-06-30 05:00:00,140217996.0,90.9687,90.02,91.2,91.495,90.0,1593489600000,332668,2020-06-30 05:00:00
2020-07-01 05:00:00,110737236.0,91.4261,91.28,91.0275,91.84,90.9775,1593576000000,317158,2020-07-01 05:00:00
2020-07-02 05:00:00,114041468.0,91.761,91.9625,91.0275,92.6175,90.91,1593662400000,304461,2020-07-02 05:00:00
2020-07-06 05:00:00,118655652.0,93.3518,92.5,93.4625,93.945,92.4675,1594008000000,335176,2020-07-06 05:00:00
2020-07-07 05:00:00,112419852.0,93.9268,93.8525,93.1725,94.655,93.0575,1594094400000,312176,2020-07-07 05:00:00
2020-07-08 05:00:00,117091880.0,94.885,94.18,95.3425,95.375,94.09,1594180800000,328566,2020-07-08 05:00:00
2020-07-09 05:00:00,125632928.0,95.6154,96.2625,95.6825,96.3175,94.6725,1594267200000,381750,2020-07-09 05:00:00
2020-07-10 05:00:00,90257320.0,95.4535,95.335,95.92,95.98,94.7052,1594353600000,278154,2020-07-10 05:00:00
2020-07-13 05:00:00,191649140.0,97.9313,97.265,95.4775,99.955,95.2575,1594612800000,582519,2020-07-13 05:00:00
2020-07-14 05:00:00,170984564.0,95.8252,94.84,97.0575,97.255,93.8775,1594699200000,475794,2020-07-14 05:00:00
2020-07-15 05:00:00,153175132.0,97.7985,98.99,97.725,99.2475,96.49,1594785600000,437741,2020-07-15 05:00:00
2020-07-16 05:00:00,110572372.0,96.468,96.5625,96.5225,97.405,95.905,1594872000000,345189,2020-07-16 05:00:00
2020-07-17 05:00:00,92164500.0,96.4832,96.9875,96.3275,97.1475,95.84,1594958400000,257101,2020-07-17 05:00:00
2020-07-20 05:00:00,90317908.0,97.4448,96.4163,98.3575,98.5,96.0625,1595217600000,281653,2020-07-20 05:00:00
2020-07-21 05:00:00,103644436.0,97.8163,99.1725,97.0,99.25,96.7425,1595304000000,328226,2020-07-21 05:00:00
2020-07-22 05:00:00,88994732.0,97.1692,96.6925,97.2725,97.975,96.6025,1595390400000,255648,2020-07-22 05:00:00
2020-07-23 05:00:00,197003632.0,94.0126,96.9984,92.845,97.0775,92.0098,1595476800000,685256,2020-07-23 05:00:00
2020-07-24 05:00:00,185433708.0,91.6042,90.9875,92.615,92.97,89.145,1595563200000,563053,2020-07-24 05:00:00
2020-07-27 05:00:00,121199392.0,94.3839,93.71,94.81,94.905,93.48,1595822400000,342422,2020-07-27 05:00:00
2020-07-28 05:00:00,103581500.0,93.8305,94.3675,93.2525,94.5497,93.2475,1595908800000,277120,2020-07-28 05:00:00
2020-07-29 05:00:00,90329256.0,94.5805,93.75,95.04,95.23,93.7125,1595995200000,260932,2020-07-29 05:00:00
2020-07-30 05:00:00,158116020.0,96.4895,94.1875,96.19,96.2975,93.7675,1596081600000,516222,2020-07-30 05:00:00
2020-07-31 05:00:00,374295468.0,103.4718,102.8838,106.26,106.415,100.825,1596168000000,1145107,2020-07-31 05:00:00
2020-08-03 05:00:00,308150416.0,109.658,108.2,108.9375,111.6364,107.8925,1596427200000,979838,2020-08-03 05:00:00
2020-08-04 05:00:00,172688068.0,109.6574,109.1325,109.665,110.79,108.3875,1596513600000,527331,2020-08-04 05:00:00
2020-08-05 05:00:00,121991952.0,109.6622,109.3775,110.0625,110.3925,108.8975,1596600000000,387414,2020-08-05 05:00:00
2020-08-06 05:00:00,202411900.0,112.4859,110.405,113.9025,114.4125,109.7975,1596686400000,585117,2020-08-06 05:00:00
2020-08-07 05:00:00,198019812.0,111.9905,113.205,111.1125,113.675,110.2925,1596772800000,648627,2020-08-07 05:00:00
2020-08-10 05:00:00,212402024.0,112.3171,112.6,112.7275,113.775,110.0,1597032000000,642375,2020-08-10 05:00:00
2020-08-11 05:00:00,187902376.0,111.0004,111.9688,109.375,112.4825,109.1067,1597118400000,625323,2020-08-11 05:00:00
2020-08-12 05:00:00,165942820.0,112.2537,110.4975,113.01,113.275,110.2975,1597204800000,515437,2020-08-12 05:00:00
2020-08-13 05:00:00,210082064.0,114.9724,114.43,115.01,116.0425,113.9275,1597291200000,633333,2020-08-13 05:00:00
2020-08-14 05:00:00,165423808.0,114.1782,114.8288,114.9075,115.0,113.045,1597377600000,538654,2020-08-14 05:00:00
2020-08-17 05:00:00,119561044.0,114.8375,116.0625,114.6075,116.0875,113.9625,1597636800000,435125,2020-08-17 05:00:00
2020-08-18 05:00:00,105633540.0,115.2166,114.3525,115.5625,116.0,114.0075,1597723200000,388889,2020-08-18 05:00:00
2020-08-19 05:00:00,145538008.0,116.4218,115.9833,115.7075,117.1625,115.61,1597809600000,499399,2020-08-19 05:00:00
2020-08-20 05:00:00,126871188.0,117.3864,115.75,118.275,118.392,115.7334,1597896000000,472757,2020-08-20 05:00:00
2020-08-21 05:00:00,337454640.0,122.6605,119.2625,124.37,124.868,119.25,1597982400000,1092109,2020-08-21 05:00:00
2020-08-24 05:00:00,345905768.0,126.3212,128.6975,125.8575,128.785,123.9363,1598241600000,1287610,2020-08-24 05:00:00
2020-08-25 05:00:00,211234408.0,124.1912,124.6975,124.825,125.1793,123.0525,1598328000000,761144,2020-08-25 05:00:00
2020-08-26 05:00:00,162473268.0,126.0815,126.1791,126.5225,126.9925,125.0825,1598414400000,627481,2020-08-26 05:00:00
2020-08-27 05:00:00,155516384.0,125.6908,127.1425,125.01,127.485,123.8325,1598500800000,679923,2020-08-27 05:00:00
2020-08-28 05:00:00,187529916.0,125.3296,126.0125,124.8075,126.4425,124.5775,1598587200000,690493,2020-08-28 05:00:00
2020-08-31 05:00:00,225631664.0,128.9302,127.58,129.04,131.0,126.0,1598846400000,2753245,2020-08-31 05:00:00
2020-09-01 05:00:00,152050116.0,132.8458,132.76,134.18,134.8,130.53,1598932800000,1494243,2020-09-01 05:00:00
2020-09-02 05:00:00,200117202.0,131.6134,137.59,131.4,137.98,127.0,1599019200000,1841705,2020-09-02 05:00:00
2020-09-03 05:00:00,257589206.0,123.526,126.91,120.88,128.84,120.5,1599105600000,2360712,2020-09-03 05:00:00
2020-09-04 05:00:00,332549990.0,117.9436,120.07,120.96,123.7,110.89,1599192000000,2966979,2020-09-04 05:00:00
2020-09-08 05:00:00,231349531.0,115.3956,113.95,112.82,118.99,112.68,1599537600000,2003625,2020-09-08 05:00:00
2020-09-09 05:00:00,176833475.0,117.4152,117.26,117.32,119.14,115.26,1599624000000,1308828,2020-09-09 05:00:00
2020-09-10 05:00:00,182274291.0,116.0457,120.36,113.49,120.5,112.5,1599710400000,1444575,2020-09-10 05:00:00
2020-09-11 05:00:00,180846525.0,112.0421,114.57,112.0,115.23,110.0,1599796800000,1405577,2020-09-11 05:00:00
2020-09-14 05:00:00,140112337.0,114.5795,114.72,115.355,115.93,112.8,1600056000000,1013512,2020-09-14 05:00:00
2020-09-15 05:00:00,183786539.0,116.4171,118.33,115.54,118.829,113.61,1600142400000,1290594,2020-09-15 05:00:00
2020-09-16 05:00:00,154719375.0,113.639,115.23,112.13,116.0,112.04,1600228800000,1186032,2020-09-16 05:00:00
2020-09-17 05:00:00,177056468.0,110.1388,109.72,110.34,112.2,108.71,1600315200000,1363245,2020-09-17 05:00:00
2020-09-18 05:00:00,287076882.0,107.7831,110.4,106.84,110.88,106.09,1600401600000,1650704,2020-09-18 05:00:00
2020-09-21 05:00:00,195547704.0,106.9383,104.54,110.08,110.19,103.1,1600660800000,1362739,2020-09-21 05:00:00
2020-09-22 05:00:00,183053939.0,110.9711,112.68,111.81,112.86,109.16,1600747200000,1128760,2020-09-22 05:00:00
2020-09-23 05:00:00,150718671.0,109.1458,111.62,107.12,112.11,106.77,1600833600000,1007065,2020-09-23 05:00:00
2020-09-24 05:00:00,167743149.0,108.5536,105.17,108.22,110.25,105.0,1600920000000,981871,2020-09-24 05:00:00
2020-09-25 05:00:00,149981441.0,110.654,108.43,112.28,112.44,107.67,1601006400000,882580,2020-09-25 05:00:00
2020-09-28 05:00:00,137668917.0,114.0428,115.01,114.96,115.32,112.78,1601265600000,866145,2020-09-28 05:00:00
2020-09-29 05:00:00,100060326.0,114.2186,114.55,114.09,115.31,113.57,1601352000000,607009,2020-09-29 05:00:00
2020-09-30 05:00:00,142675133.0,115.9431,113.79,115.81,117.26,113.62,1601438400000,808528,2020-09-30 05:00:00
2020-10-01 05:00:00,115886840.0,116.5914,117.64,116.79,117.72,115.83,1601524800000,673252,2020-10-01 05:00:00
